size,num_rooms,location,pet_friendly,floor_level,rental_type,monthly_rent,date_posted
71.0,2,Brabrand,no,1,privat,7700 kr,2026-04-22
83.0,3,Centrum,no,1,almen,10275 kr,2025-10-30
79.0,3,Åbyhøj,no,1,privat,10525 kr,2025-05-31
79.0,3,Aarhus C,no,2,privat,14675 kr,2024-08-05
81.0,3,Viby,no,stuen,almen,5075 kr,2026-03-08
67.0,2,Hasle,no,1,almen,5300 kr,2026-06-02
69.0,3,Hasle,yes,2,privat,8400 kr,2024-07-12
62.0,4,Centrum,yes,3,privat,10950 kr,2024-08-27
67.0,2,Hasle,no,1,privat,7950 kr,2025-09-27
63.0,2,Brabrand,yes,3,privat,6475 kr,2024-10-21
40.0,1,Brabrand,yes,3,privat,4800 kr,2025-04-06
16.0,1,Hasle,no,stuen,almen,2200 kr,2025-04-21
49.0,2,Aarhus C,yes,1,privat,9225 kr,2024-08-19
65.0,2,Centrum,yes,4+,privat,11875 kr,2024-06-04
35.0,1,Centrum,no,stuen,almen,4100 kr,2024-10-24
36.0,2,Aarhus C,yes,1,privat,5850 kr,2026-07-13
27.0,1,Vejlby,no,3,almen,2200 kr,2024-12-03
75.0,3,Hasle,yes,3,almen,6125 kr,2024-12-24
90.0,3,Trøjborg,yes,1,almen,8375 kr,2026-02-10
78.0,2,Centrum,no,stuen,privat,13025 kr,2024-08-02
89.0,3,Hasle,no,1,almen,6850 kr,2025-09-16
91.0,4,Trøjborg,no,stuen,almen,9700 kr,2024-12-05
56.0,2,Skejby,no,1,privat,7000 kr,2024-11-15
91.0,4,Hasle,yes,2,almen,7525 kr,2025-10-23
87.0,2,Centrum,no,4+,privat,14900 kr,2024-06-25
54.0,2,Centrum,no,2,privat,10000 kr,2024-10-23
72.0,3,Brabrand,no,1,privat,7250 kr,2026-02-06
72.0,3,Trøjborg,yes,2,privat,9725 kr,2025-12-27
20.0,1,Centrum,no,1,privat,3350 kr,2025-02-10
98.0,4,Hasle,no,3,privat,11375 kr,2024-12-13
54.0,2,Risskov,yes,1,privat,8425 kr,2024-10-18
44.0,1,Aarhus C,no,1,almen,4725 kr,2025-06-07
70.0,3,Hasle,no,stuen,privat,8775 kr,2026-06-20
69.0,3,Aarhus C,no,3,almen,8200 kr,2025-12-31
56.0,1,Åbyhøj,no,4+,almen,3600 kr,2024-06-13
49.0,2,Aarhus C,yes,stuen,almen,5975 kr,2025-12-29
41.0,1,Trøjborg,no,2,privat,6700 kr,2026-07-23
69.0,3,Åbyhøj,yes,1,almen,5200 kr,2025-09-07
49.0,2,Vejlby,yes,2,almen,4050 kr,2024-09-13
67.0,3,Hasle,no,3,privat,8050 kr,2025-05-19
72.0,3,Aarhus C,yes,3,privat,13025 kr,2025-03-21
67.0,2,Centrum,yes,2,almen,7400 kr,2026-04-10
61.0,3,Skejby,no,2,almen,5350 kr,2025-02-05
19.0,1,Risskov,no,3,almen,2200 kr,2026-03-03
76.0,3,Vejlby,yes,1,almen,6350 kr,2025-01-05
88.0,3,Risskov,no,2,almen,7750 kr,2024-08-08
56.0,2,Risskov,no,2,privat,8325 kr,2024-08-14
76.0,3,Hasle,no,stuen,almen,7225 kr,2024-11-18
56.0,2,Viby,yes,4+,privat,6825 kr,2025-06-02
75.0,3,Trøjborg,no,3,almen,6875 kr,2025-09-04
82.0,3,Aarhus C,no,stuen,privat,15250 kr,2026-02-08
67.0,3,Centrum,no,1,almen,7025 kr,2025-11-05
70.0,2,Åbyhøj,no,2,privat,9050 kr,2024-12-31
103.0,4,Viby,yes,1,privat,11800 kr,2025-05-02
100.0,3,Åbyhøj,yes,2,almen,7600 kr,2026-05-29
100.0,4,Aarhus C,no,2,almen,11550 kr,2025-08-21
84.0,3,Aarhus C,yes,2,almen,11625 kr,2026-05-31
49.0,2,Trøjborg,yes,stuen,almen,4075 kr,2026-02-06
77.0,2,Viby,yes,4+,privat,8300 kr,2026-06-22
45.0,1,Hasle,no,stuen,privat,4900 kr,2026-03-22
54.0,2,Hasle,no,3,privat,6125 kr,2026-03-26
62.0,2,Åbyhøj,no,2,privat,7725 kr,2026-01-01
67.0,4,Brabrand,yes,2,almen,4325 kr,2025-09-29
42.0,2,Aarhus C,no,2,almen,4825 kr,2025-06-04
55.0,2,Brabrand,yes,3,almen,4050 kr,2024-11-18
79.0,2,Trøjborg,no,2,privat,11625 kr,2025-06-29
64.0,3,Aarhus C,yes,3,privat,10800 kr,2026-03-19
43.0,2,Viby,yes,4+,privat,5025 kr,2024-09-25
76.0,3,Aarhus C,no,stuen,almen,8500 kr,2025-01-27
41.0,1,Viby,no,1,almen,3400 kr,2024-12-16
93.0,4,Trøjborg,yes,1,privat,13000 kr,2024-12-23
48.0,2,Centrum,no,1,privat,8050 kr,2025-02-10
72.0,2,Hasle,yes,3,privat,8125 kr,2025-07-20
43.0,2,Trøjborg,no,stuen,privat,6500 kr,2025-10-21
38.0,1,Aarhus C,no,stuen,almen,4025 kr,2026-07-08
83.0,4,Trøjborg,yes,2,privat,12350 kr,2024-10-25
34.0,1,Risskov,yes,2,privat,5200 kr,2026-05-07
48.0,2,Brabrand,yes,2,privat,5375 kr,2024-08-19
58.0,1,Åbyhøj,no,2,privat,7500 kr,2025-09-17
91.0,3,Vejlby,no,3,privat,11025 kr,2024-12-28
91.0,4,Aarhus C,yes,1,privat,16400 kr,2026-05-29
69.0,2,Åbyhøj,no,1,privat,8575 kr,2024-07-29
44.0,2,Vejlby,no,3,privat,5925 kr,2025-06-03
91.0,2,Vejlby,no,2,privat,11200 kr,2025-10-24
55.0,2,Viby,no,4+,almen,4125 kr,2025-01-04
48.0,2,Risskov,yes,3,privat,7950 kr,2026-03-20
52.0,3,Skejby,no,2,almen,5100 kr,2025-09-22
42.0,1,Vejlby,yes,1,privat,4950 kr,2024-10-18
61.0,3,Trøjborg,no,4+,almen,6375 kr,2024-12-11
74.0,3,Risskov,no,2,almen,7950 kr,2025-03-04
21.0,1,Aarhus C,no,1,privat,4150 kr,2024-06-13
32.0,2,Trøjborg,no,3,almen,3025 kr,2025-05-01
80.0,3,Skejby,yes,stuen,privat,10150 kr,2025-01-25
51.0,1,Aarhus C,no,3,privat,9225 kr,2026-04-28
47.0,3,Centrum,yes,2,almen,5325 kr,2024-09-27
