Størrelse (m2),Værelser,Bydel,Kæledyr tilladt,Etage,Boligtype,Husleje (kr/md),Dato
79.0,4,Viby,Nej,2,privat,9250.0,2025-06-03
55.0,2,Skejby,Nej,1,privat,7125.0,2025-07-17
64.0,2,Trøjborg,Ja,2,almen,6575.0,2026-01-26
69.0,3,Aarhus C,Nej,1,privat,12625.0,2026-04-05
70.0,2,Vejlby,,2,privat,8625.0,2026-05-29
16.0,1,Hasle,Nej,3,privat,2200.0,2026-01-05
62.0,2,Trøjborg,Ja,2,privat,9150.0,2024-09-13
61.0,3,Vejlby,Ja,2,almen,5475.0,2024-10-29
51.0,2,Risskov,Ja,3,privat,8600.0,2025-03-08
80.0,4,Vejlby,Nej,4+,privat,8850.0,2026-01-20
29.0,1,Risskov,Nej,3,privat,4550.0,2026-04-14
52.0,2,Viby,,stuen,privat,6050.0,2026-05-11
69.0,3,Trøjborg,,1,almen,6875.0,2024-10-24
58.0,2,Centrum,Nej,3,privat,10075.0,2024-12-28
41.0,1,Risskov,Ja,3,privat,5425.0,2024-12-01
94.0,3,Vejlby,Nej,3,privat,10650.0,2025-09-15
16.0,1,Centrum,Nej,1,privat,2925.0,2025-08-02
84.0,2,Vejlby,Nej,4+,privat,11100.0,2025-09-07
78.0,2,Risskov,,stuen,privat,12050.0,2025-07-08
66.0,3,Vejlby,Nej,2,privat,6950.0,2025-05-23
113.0,4,Aarhus C,Nej,2,almen,14225.0,2026-03-02
61.0,3,Åbyhøj,Ja,3,privat,6725.0,2025-06-06
50.0,2,Aarhus C,Ja,1,almen,5725.0,2025-03-10
79.0,3,Vejlby,Ja,2,almen,5875.0,2024-08-23
70.0,3,Vejlby,Ja,4+,almen,5975.0,2024-08-17
38.0,1,Centrum,Nej,1,privat,7000.0,2025-07-04
89.0,4,Brabrand,Ja,2,privat,10350.0,2024-08-29
49.0,2,Aarhus C,Nej,1,almen,5875.0,2026-06-01
50.0,2,Vejlby,Nej,3,privat,6300.0,2025-06-08
