m2_ca,rum,sted,dyr_ok,husleje_dkk,dato
29.0,1.0,Skejby,1.0,3950.0,2024-10-10 00:00:00
66.0,2.0,Hasle,1.0,7200.0,2026-05-05 00:00:00
25.0,1.0,AARHUS CENTRUM,1.0,3125.0,2024-08-16 00:00:00
74.0,2.0,risskov,0.0,8000.0,2024-07-21 00:00:00
74.0,3.0,trøjborg,1.0,10675.0,2024-08-20 00:00:00
59.0,2.0,aarhus c,1.0,6025.0,2024-12-12 00:00:00
68.0,3.0,trøjborg,0.0,10925.0,2025-03-11 00:00:00
76.0,3.0,centrum,0.0,14800.0,2025-11-19 00:00:00
90.0,3.0,City centre,0.0,8650.0,2024-12-05 00:00:00
59.0,2.0,Trojborg,0.0,8775.0,2024-08-17 00:00:00
108.0,4.0,Risskov,0.0,16500.0,2024-12-04 00:00:00
39.0,2.0,centrum,1.0,6950.0,2025-11-02 00:00:00
108.0,5.0,Aabyhoj,0.0,13425.0,2025-09-27 00:00:00
20.0,1.0,vejlby,0.0,2200.0,2025-09-20 00:00:00
57.0,1.0,City centre,0.0,10825.0,2025-06-10 00:00:00
101.0,3.0,vejlby,0.0,12125.0,2024-12-23 00:00:00
74.0,3.0,vejlby,1.0,8950.0,2025-10-08 00:00:00
85.0,3.0,Hasle,0.0,10450.0,2024-06-04 00:00:00
89.0,3.0,Hasle,0.0,10725.0,2026-06-25 00:00:00
85.0,3.0,Aarhus C,1.0,15650.0,2025-06-15 00:00:00
35.0,2.0,trøjborg,0.0,3100.0,2025-10-07 00:00:00
44.0,1.0,Århus C,0.0,4975.0,2026-04-26 00:00:00
64.0,3.0,trøjborg,0.0,10400.0,2024-07-07 00:00:00
75.0,3.0,Brabrand,1.0,7900.0,2025-08-15 00:00:00
75.0,3.0,Åbyhøj,1.0,5975.0,2025-09-05 00:00:00
63.0,2.0,Viby J,0.0,7550.0,2026-06-25 00:00:00
59.0,1.0,Centrum,0.0,10350.0,2026-01-19 00:00:00
103.0,3.0,Viby J,0.0,11200.0,2024-09-13 00:00:00
73.0,3.0,Risskov,0.0,7225.0,2025-06-18 00:00:00
79.0,2.0,centrum,0.0,8000.0,2026-01-27 00:00:00
63.0,2.0,Risskov,1.0,6125.0,2026-03-19 00:00:00
56.0,3.0,Hasle,1.0,7250.0,2025-03-25 00:00:00
78.0,2.0,Viby,1.0,4950.0,2025-01-12 00:00:00
92.0,4.0,Viby J,0.0,5775.0,2026-06-03 00:00:00
97.0,3.0,Skejby,0.0,7200.0,2026-03-18 00:00:00
79.0,3.0,Brabrand,1.0,4575.0,2025-05-31 00:00:00
35.0,1.0,City centre,1.0,6350.0,2025-10-17 00:00:00
87.0,4.0,abyhoej,1.0,10700.0,2024-06-02 00:00:00
30.0,1.0,City centre,0.0,5000.0,2026-04-29 00:00:00
40.0,1.0,Centrum,1.0,6975.0,2025-02-25 00:00:00
53.0,2.0,aarhus c,0.0,9900.0,2025-03-17 00:00:00
49.0,3.0,Hasle,1.0,4100.0,2024-09-13 00:00:00
90.0,3.0,Århus C,0.0,15825.0,2026-07-05 00:00:00
79.0,3.0,abyhoej,1.0,5850.0,2026-01-23 00:00:00
83.0,2.0,skejby,0.0,11800.0,2024-08-06 00:00:00
51.0,1.0,abyhoej,0.0,6175.0,2024-07-25 00:00:00
72.0,3.0,Viby J,0.0,8150.0,2024-09-18 00:00:00
98.0,4.0,viby j,1.0,7025.0,2025-01-02 00:00:00
39.0,1.0,trøjborg,1.0,3075.0,2024-12-28 00:00:00
55.0,2.0,risskov,0.0,5625.0,2025-10-17 00:00:00
