m2,vaerelser,omraade,kaeledyr,type,pris,opslaas_dato
50.0,2,Brabrand,1,privat,5125.0,2025-03-16
100.0,3,Åbyhøj,0,privat,13675.0,2024-11-23
98.0,4,Vejlby,0,privat,12500.0,2025-06-21
,2,Viby,0,almen,2450.0,2025-10-11
33.0,1,Vejlby,1,privat,3925.0,2024-10-23
27.0,1,Åbyhøj,1,privat,3325.0,2025-06-29
,5,Vejlby,0,privat,14650.0,2026-01-18
70.0,2,Viby,0,almen,4200.0,2025-11-30
67.0,4,Viby,0,almen,4575.0,2025-05-18
81.0,4,Hasle,0,privat,9450.0,2024-09-04
45.0,1,Vejlby,0,privat,5125.0,2025-11-04
64.0,3,Hasle,1,privat,8225.0,2024-10-18
40.0,1,Hasle,0,almen,2875.0,2025-07-26
83.0,3,Brabrand,1,almen,5475.0,2026-01-26
45.0,2,Trøjborg,1,privat,6150.0,2024-09-16
,3,Brabrand,0,privat,8575.0,2025-02-24
93.0,3,Aarhus C,1,almen,10175.0,2024-08-12
65.0,3,Hasle,1,privat,7425.0,2026-07-22
88.0,3,Hasle,0,privat,10025.0,2025-07-29
39.0,2,Risskov,0,almen,3700.0,2026-01-27
39.0,1,Aarhus C,0,privat,6550.0,2025-12-25
73.0,2,Risskov,1,privat,10900.0,2025-04-14
63.0,2,Brabrand,0,privat,6950.0,2025-05-09
34.0,2,Trøjborg,1,almen,3600.0,2024-10-09
56.0,1,Skejby,1,privat,6375.0,2024-07-26
,3,Trøjborg,0,privat,13875.0,2026-01-03
51.0,2,Aarhus C,1,almen,6675.0,2025-07-20
69.0,2,Åbyhøj,1,almen,5575.0,2025-03-11
59.0,2,Åbyhøj,1,privat,6925.0,2025-07-19
73.0,2,Åbyhøj,0,privat,9250.0,2025-09-20
76.0,3,Åbyhøj,0,privat,9350.0,2026-02-04
82.0,3,Vejlby,1,privat,10575.0,2026-05-09
80.0,4,Viby,0,almen,6525.0,2026-07-10
88.0,2,Brabrand,1,privat,8875.0,2026-07-08
78.0,4,Centrum,1,privat,14275.0,2025-09-05
73.0,3,Skejby,0,privat,10200.0,2024-07-24
56.0,2,Aarhus C,1,almen,6700.0,2025-08-16
16.0,1,Vejlby,0,almen,2200.0,2026-04-28
59.0,2,Trøjborg,1,almen,5450.0,2024-12-17
49.0,1,Hasle,1,privat,5325.0,2026-01-14
51.0,3,Vejlby,0,privat,7375.0,2024-12-11
26.0,1,Åbyhøj,1,privat,3275.0,2025-06-29
86.0,3,Risskov,1,privat,12750.0,2024-09-13
23.0,1,Risskov,1,almen,2200.0,2026-02-06
78.0,3,Hasle,0,almen,7400.0,2025-01-14
62.0,3,Centrum,0,privat,11475.0,2024-08-11
78.0,3,Trøjborg,0,almen,6475.0,2026-06-03
89.0,3,Skejby,0,privat,12550.0,2025-06-26
116.0,4,Risskov,0,almen,11075.0,2025-05-11
101.0,3,Viby,0,almen,7275.0,2024-06-26
93.0,4,Risskov,1,almen,8600.0,2025-12-29
103.0,4,Åbyhøj,0,privat,13675.0,2025-11-09
69.0,3,Vejlby,0,almen,6650.0,2024-10-26
70.0,3,Risskov,0,privat,9925.0,2026-07-03
56.0,2,Skejby,1,almen,4375.0,2025-05-20
75.0,4,Skejby,0,privat,9775.0,2025-09-25
95.0,3,Trøjborg,0,privat,13325.0,2026-07-19
68.0,2,Åbyhøj,0,privat,7850.0,2025-10-15
68.0,3,Aarhus C,1,privat,11675.0,2025-02-08
53.0,2,Aarhus C,1,almen,5775.0,2024-07-05
106.0,4,Viby,1,almen,8825.0,2024-12-28
68.0,2,Aarhus C,0,privat,10875.0,2025-08-09
81.0,3,Centrum,1,privat,13950.0,2024-06-20
63.0,2,Risskov,1,privat,9925.0,2024-08-13
,3,Aarhus C,0,privat,13725.0,2024-06-24
24.0,1,Aarhus C,0,privat,4600.0,2026-01-21
71.0,3,Aarhus C,0,privat,13400.0,2024-06-21
53.0,2,Åbyhøj,1,almen,4400.0,2024-10-15
99.0,3,Brabrand,0,privat,11750.0,2025-04-16
87.0,4,Aarhus C,1,privat,16100.0,2024-09-16
61.0,3,Vejlby,0,privat,8275.0,2024-08-28
51.0,2,Vejlby,0,privat,5750.0,2025-02-27
45.0,1,Vejlby,0,almen,3650.0,2025-12-22
,4,Viby,1,privat,8975.0,2026-05-06
51.0,2,Trøjborg,0,almen,4225.0,2024-07-16
109.0,4,Skejby,0,privat,14425.0,2024-08-12
43.0,2,Risskov,1,privat,6725.0,2025-06-22
,2,Viby,1,almen,3525.0,2024-06-01
44.0,2,Viby,0,almen,3525.0,2025-02-11
33.0,1,Vejlby,1,almen,2825.0,2026-07-03
77.0,2,Aarhus C,0,privat,13400.0,2025-04-25
49.0,2,Skejby,0,almen,4150.0,2024-10-15
96.0,4,Hasle,0,privat,11625.0,2026-05-26
69.0,3,Åbyhøj,1,privat,8875.0,2024-11-15
22.0,1,Åbyhøj,0,almen,2200.0,2025-07-19
47.0,1,Åbyhøj,0,privat,4950.0,2026-04-13
,3,Skejby,0,almen,6125.0,2026-03-13
98.0,4,Viby,0,almen,6900.0,2026-04-07
,1,Trøjborg,0,privat,7500.0,2024-08-30
60.0,2,Centrum,0,privat,11525.0,2025-11-04
31.0,1,Viby,0,privat,3550.0,2024-08-16
97.0,4,Hasle,1,privat,11200.0,2026-07-06
16.0,1,Risskov,1,almen,2200.0,2025-11-11
73.0,2,Aarhus C,1,privat,13150.0,2026-06-04
67.0,3,Aarhus C,1,almen,7475.0,2025-04-07
75.0,3,Hasle,0,privat,9325.0,2024-07-17
82.0,3,Vejlby,1,almen,6675.0,2025-06-05
93.0,3,Trøjborg,1,privat,12550.0,2024-08-03
68.0,2,Centrum,0,privat,11400.0,2025-04-07
26.0,1,Trøjborg,1,privat,3625.0,2024-10-23
105.0,3,Skejby,0,almen,8500.0,2025-07-12
53.0,3,Brabrand,0,privat,5975.0,2025-10-18
89.0,3,Skejby,0,privat,11350.0,2025-09-16
60.0,2,Viby,0,almen,3975.0,2025-10-06
85.0,3,Trøjborg,1,almen,8150.0,2025-11-22
,3,Brabrand,1,privat,7100.0,2026-05-12
57.0,3,Centrum,1,privat,9350.0,2026-03-26
88.0,2,Åbyhøj,1,privat,10500.0,2026-01-29
16.0,1,Trøjborg,0,privat,2450.0,2026-01-29
,2,Centrum,1,almen,7350.0,2025-05-26
67.0,3,Centrum,1,privat,11750.0,2026-03-07
76.0,3,Trøjborg,0,privat,11375.0,2024-09-15
53.0,1,Aarhus C,0,almen,5850.0,2024-06-18
20.0,1,Aarhus C,0,almen,2325.0,2025-05-06
75.0,3,Åbyhøj,1,privat,8425.0,2025-10-30
38.0,2,Viby,0,privat,4900.0,2024-11-12
82.0,3,Viby,1,privat,9575.0,2026-02-22
76.0,3,Aarhus C,0,almen,9275.0,2024-06-18
66.0,2,Aarhus C,1,privat,10925.0,2026-04-19
103.0,4,Aarhus C,1,privat,17725.0,2024-10-06
,3,Risskov,0,privat,14675.0,2025-08-06
42.0,1,Vejlby,1,privat,4800.0,2026-04-27
24.0,1,Vejlby,0,almen,2200.0,2026-05-03
100.0,4,Hasle,1,almen,9175.0,2025-11-28
122.0,5,Viby,1,privat,13225.0,2026-05-10
49.0,2,Viby,0,almen,3650.0,2024-08-30
,3,Skejby,1,privat,9750.0,2026-04-22
44.0,3,Risskov,0,privat,6475.0,2024-07-06
51.0,2,Hasle,0,privat,6000.0,2024-08-19
138.0,5,Hasle,0,privat,18350.0,2024-10-17
77.0,3,Viby,1,almen,5300.0,2025-04-11
69.0,2,Brabrand,0,almen,5200.0,2026-03-21
71.0,3,Skejby,1,privat,9450.0,2024-08-07
,1,Vejlby,1,almen,2875.0,2025-04-21
76.0,3,Skejby,0,privat,9975.0,2024-09-25
112.0,5,Centrum,0,almen,13000.0,2024-12-14
103.0,4,Aarhus C,1,almen,11500.0,2026-03-12
55.0,2,Centrum,1,almen,6750.0,2024-06-21
46.0,2,Centrum,0,almen,4850.0,2024-11-20
84.0,4,Risskov,1,privat,12725.0,2024-06-27
68.0,3,Risskov,0,almen,5700.0,2024-08-09
65.0,3,Viby,0,almen,5575.0,2024-11-07
49.0,1,Risskov,1,almen,4800.0,2024-06-26
87.0,3,Brabrand,0,privat,9625.0,2025-09-15
,2,Brabrand,0,privat,6925.0,2024-12-04
67.0,3,Brabrand,0,privat,7500.0,2026-02-05
68.0,3,Risskov,0,privat,11100.0,2024-06-25
77.0,3,Viby,0,privat,8525.0,2026-06-06
43.0,1,Viby,0,almen,3700.0,2025-12-24
42.0,2,Skejby,0,almen,3575.0,2024-09-25
16.0,1,Åbyhøj,1,privat,2200.0,2025-01-07
75.0,3,Trøjborg,1,almen,7725.0,2024-08-14
113.0,4,Vejlby,1,privat,13775.0,2025-11-04
92.0,3,Trøjborg,1,privat,13275.0,2025-03-19
67.0,3,Aarhus C,1,privat,12375.0,2024-10-03
40.0,2,Skejby,1,privat,5600.0,2026-07-03
59.0,2,Aarhus C,1,almen,6175.0,2026-05-18
52.0,2,Brabrand,0,privat,5575.0,2025-06-22
76.0,2,Åbyhøj,1,privat,9725.0,2026-01-29
61.0,2,Hasle,0,privat,7400.0,2026-03-20
78.0,3,Vejlby,0,privat,10725.0,2026-04-18
57.0,2,Hasle,0,privat,6500.0,2025-05-02
35.0,1,Skejby,1,almen,2675.0,2026-06-22
108.0,4,Trøjborg,1,privat,14625.0,2024-12-20
35.0,2,Aarhus C,0,privat,6625.0,2025-06-23
37.0,2,Aarhus C,1,privat,6350.0,2026-03-04
49.0,1,Centrum,1,privat,8150.0,2026-06-09
54.0,2,Brabrand,1,privat,5075.0,2026-03-25
86.0,4,Åbyhøj,0,almen,6275.0,2026-07-02
