size_m2,rooms,area,pets_allowed,floor,housing_type,rent_kr,listed_date,kilde,befolkningstal,andel_studerende_pct,afstand_til_centrum_km,price_per_m2,listed_month,is_almen
79.0,4,Viby,0,2,privat,9250.0,2025-06-03,boligportal,15600,28,6.0,117.1,6,0
55.0,2,Skejby,0,1,privat,7125.0,2025-07-17,boligportal,6700,8,7.8,129.5,7,0
64.0,2,Trøjborg,1,2,almen,6575.0,2026-01-26,boligportal,7300,45,2.1,102.7,1,1
69.0,3,Aarhus C,0,1,privat,12625.0,2026-04-05,boligportal,8200,18,0.5,183.0,4,0
70.0,2,Vejlby,0,2,privat,8625.0,2026-05-29,boligportal,9800,20,5.2,123.2,5,0
16.0,1,Hasle,0,3,privat,2200.0,2026-01-05,boligportal,10300,19,3.9,137.5,1,0
62.0,2,Trøjborg,1,2,privat,9150.0,2024-09-13,boligportal,7300,45,2.1,147.6,9,0
61.0,3,Vejlby,1,2,almen,5475.0,2024-10-29,boligportal,9800,20,5.2,89.8,10,1
51.0,2,Risskov,1,3,privat,8600.0,2025-03-08,boligportal,9400,12,4.8,168.6,3,0
80.0,4,Vejlby,0,4+,privat,8850.0,2026-01-20,boligportal,9800,20,5.2,110.6,1,0
29.0,1,Risskov,0,3,privat,4550.0,2026-04-14,boligportal,9400,12,4.8,156.9,4,0
52.0,2,Viby,0,stuen,privat,6050.0,2026-05-11,boligportal,15600,28,6.0,116.3,5,0
69.0,3,Trøjborg,0,1,almen,6875.0,2024-10-24,boligportal,7300,45,2.1,99.6,10,1
58.0,2,Centrum,0,3,privat,10075.0,2024-12-28,boligportal,6100,22,0.2,173.7,12,0
41.0,1,Risskov,1,3,privat,5425.0,2024-12-01,boligportal,9400,12,4.8,132.3,12,0
94.0,3,Vejlby,0,3,privat,10650.0,2025-09-15,boligportal,9800,20,5.2,113.3,9,0
16.0,1,Centrum,0,1,privat,2925.0,2025-08-02,boligportal,6100,22,0.2,182.8,8,0
84.0,2,Vejlby,0,4+,privat,11100.0,2025-09-07,boligportal,9800,20,5.2,132.1,9,0
78.0,2,Risskov,0,stuen,privat,12050.0,2025-07-08,boligportal,9400,12,4.8,154.5,7,0
66.0,3,Vejlby,0,2,privat,6950.0,2025-05-23,boligportal,9800,20,5.2,105.3,5,0
113.0,4,Aarhus C,0,2,almen,14225.0,2026-03-02,boligportal,8200,18,0.5,125.9,3,1
61.0,3,Åbyhøj,1,3,privat,6725.0,2025-06-06,boligportal,11200,15,3.5,110.2,6,0
50.0,2,Aarhus C,1,1,almen,5725.0,2025-03-10,boligportal,8200,18,0.5,114.5,3,1
79.0,3,Vejlby,1,2,almen,5875.0,2024-08-23,boligportal,9800,20,5.2,74.4,8,1
70.0,3,Vejlby,1,4+,almen,5975.0,2024-08-17,boligportal,9800,20,5.2,85.4,8,1
38.0,1,Centrum,0,1,privat,7000.0,2025-07-04,boligportal,6100,22,0.2,184.2,7,0
89.0,4,Brabrand,1,2,privat,10350.0,2024-08-29,boligportal,13100,24,5.5,116.3,8,0
49.0,2,Aarhus C,0,1,almen,5875.0,2026-06-01,boligportal,8200,18,0.5,119.9,6,1
50.0,2,Vejlby,0,3,privat,6300.0,2025-06-08,boligportal,9800,20,5.2,126.0,6,0
62.0,2,Aarhus C,0,1,almen,8050.0,2026-04-24,boligportal,8200,18,0.5,129.8,4,1
88.0,3,Centrum,1,3,privat,16175.0,2024-09-09,boligportal,6100,22,0.2,183.8,9,0
99.0,4,Brabrand,0,4+,almen,5525.0,2026-01-07,boligportal,13100,24,5.5,55.8,1,1
74.0,4,Trøjborg,0,2,almen,7100.0,2025-08-13,boligportal,7300,45,2.1,95.9,8,1
62.0,2,Trøjborg,1,4+,almen,5525.0,2026-04-28,boligportal,7300,45,2.1,89.1,4,1
17.0,1,Trøjborg,0,3,privat,2475.0,2025-07-28,boligportal,7300,45,2.1,145.6,7,0
84.0,3,Skejby,0,2,privat,12550.0,2024-09-09,boligportal,6700,8,7.8,149.4,9,0
75.0,2,Vejlby,0,1,almen,6425.0,2024-07-26,boligportal,9800,20,5.2,85.7,7,1
103.0,4,Aarhus C,1,1,almen,10925.0,2026-07-28,boligportal,8200,18,0.5,106.1,7,1
77.0,4,Risskov,0,2,privat,12400.0,2024-07-28,boligportal,9400,12,4.8,161.0,7,0
91.0,3,Viby,0,3,privat,10675.0,2025-12-03,boligportal,15600,28,6.0,117.3,12,0
60.0,3,Centrum,0,1,privat,10875.0,2025-03-23,boligportal,6100,22,0.2,181.2,3,0
49.0,2,Trøjborg,0,1,almen,4600.0,2024-08-23,boligportal,7300,45,2.1,93.9,8,1
49.0,1,Trøjborg,0,2,almen,4675.0,2024-12-17,boligportal,7300,45,2.1,95.4,12,1
68.0,2,Åbyhøj,1,2,almen,4700.0,2024-09-26,boligportal,11200,15,3.5,69.1,9,1
