size_m2,rooms,area,pets_allowed,floor,housing_type,rent_kr,listed_date,kilde
79.0,4,Viby,0,2,privat,9250.0,2025-06-03,boligportal
55.0,2,Skejby,0,1,privat,7125.0,2025-07-17,boligportal
64.0,2,Trøjborg,1,2,almen,6575.0,2026-01-26,boligportal
69.0,3,Aarhus C,0,1,privat,12625.0,2026-04-05,boligportal
70.0,2,Vejlby,0,2,privat,8625.0,2026-05-29,boligportal
16.0,1,Hasle,0,3,privat,2200.0,2026-01-05,boligportal
62.0,2,Trøjborg,1,2,privat,9150.0,2024-09-13,boligportal
61.0,3,Vejlby,1,2,almen,5475.0,2024-10-29,boligportal
51.0,2,Risskov,1,3,privat,8600.0,2025-03-08,boligportal
80.0,4,Vejlby,0,4+,privat,8850.0,2026-01-20,boligportal
29.0,1,Risskov,0,3,privat,4550.0,2026-04-14,boligportal
52.0,2,Viby,0,stuen,privat,6050.0,2026-05-11,boligportal
69.0,3,Trøjborg,0,1,almen,6875.0,2024-10-24,boligportal
58.0,2,Centrum,0,3,privat,10075.0,2024-12-28,boligportal
41.0,1,Risskov,1,3,privat,5425.0,2024-12-01,boligportal
94.0,3,Vejlby,0,3,privat,10650.0,2025-09-15,boligportal
16.0,1,Centrum,0,1,privat,2925.0,2025-08-02,boligportal
84.0,2,Vejlby,0,4+,privat,11100.0,2025-09-07,boligportal
78.0,2,Risskov,0,stuen,privat,12050.0,2025-07-08,boligportal
66.0,3,Vejlby,0,2,privat,6950.0,2025-05-23,boligportal
113.0,4,Aarhus C,0,2,almen,14225.0,2026-03-02,boligportal
61.0,3,Åbyhøj,1,3,privat,6725.0,2025-06-06,boligportal
50.0,2,Aarhus C,1,1,almen,5725.0,2025-03-10,boligportal
79.0,3,Vejlby,1,2,almen,5875.0,2024-08-23,boligportal
70.0,3,Vejlby,1,4+,almen,5975.0,2024-08-17,boligportal
38.0,1,Centrum,0,1,privat,7000.0,2025-07-04,boligportal
89.0,4,Brabrand,1,2,privat,10350.0,2024-08-29,boligportal
49.0,2,Aarhus C,0,1,almen,5875.0,2026-06-01,boligportal
50.0,2,Vejlby,0,3,privat,6300.0,2025-06-08,boligportal
62.0,2,Aarhus C,0,1,almen,8050.0,2026-04-24,boligportal
88.0,3,Centrum,1,3,privat,16175.0,2024-09-09,boligportal
99.0,4,Brabrand,0,4+,almen,5525.0,2026-01-07,boligportal
74.0,4,Trøjborg,0,2,almen,7100.0,2025-08-13,boligportal
62.0,2,Trøjborg,1,4+,almen,5525.0,2026-04-28,boligportal
17.0,1,Trøjborg,0,3,privat,2475.0,2025-07-28,boligportal
84.0,3,Skejby,0,2,privat,12550.0,2024-09-09,boligportal
75.0,2,Vejlby,0,1,almen,6425.0,2024-07-26,boligportal
103.0,4,Aarhus C,1,1,almen,10925.0,2026-07-28,boligportal
77.0,4,Risskov,0,2,privat,12400.0,2024-07-28,boligportal
91.0,3,Viby,0,3,privat,10675.0,2025-12-03,boligportal
60.0,3,Centrum,0,1,privat,10875.0,2025-03-23,boligportal
49.0,2,Trøjborg,0,1,almen,4600.0,2024-08-23,boligportal
49.0,1,Trøjborg,0,2,almen,4675.0,2024-12-17,boligportal
68.0,2,Åbyhøj,1,2,almen,4700.0,2024-09-26,boligportal
35.0,2,Risskov,0,3,privat,5275.0,2025-02-02,boligportal
68.0,3,Centrum,0,stuen,almen,8000.0,2024-12-01,boligportal
46.0,2,Centrum,0,2,privat,8250.0,2024-08-10,boligportal
62.0,2,Vejlby,1,1,almen,5900.0,2024-07-19,boligportal
